"id","publicAccess","name","nameTC","alphaSortName","alphaSortNameTC","type","roles","displayBio","displayBioTC","gender","genderTC","beginDate","endDate","nationality","nationalityTC"
11,true,"M+ Museum","M+ Museum","M+ Museum","M+ Museum","Organization","[""Commissioned by"",""委約方""]","established Hong Kong, 2010","2010年成立於香港","Not Applicable","Not Applicable",2010,,"Hong Kong","香港"
17,true,"Stanley Wong","又一山人（黃炳培）","Wong, Stanley","又一山人（黃炳培）","Individual","[""Artist"",""Designer"",""藝術家"",""設計師""]","Hong Kong, born 1960","香港，生於1960年","Male","男性",1960,,"Hong Kong","香港"
19,true,"Atelier FCJZ","非常建築","Atelier FCJZ","非常建築","Organization","[""Architectural Firm"",""建築師事務所""]","established Houston, 1993; now based in Beijing and Shanghai","1993年成立於侯斯頓，現設於北京及上海","Not Applicable","Not Applicable",1993,,,
29,true,"Revital Cohen & Tuur Van Balen","Revital Cohen & Tuur Van Balen","Revital Cohen & Tuur Van Balen","Revital Cohen & Tuur Van Balen","Organization","[""Designer""]","established London, 2007","成立於倫敦","Not Applicable","中性",2007,,"British","英國籍"
31,true,"Dennis Lau & Ng Chun Man Architects & Engineers (HK) Ltd.","劉榮廣伍振民建築師事務所（香港）有限公司","Dennis Lau & Ng Chun Man Architects & Engineers (HK) Ltd.","劉榮廣伍振民建築師事務所（香港）有限公司","Organization","[""Archive Creator"",""Publisher"",""Subject"",""Architectural Firm"",""建檔者"",""出版社"",""作品主體"",""建築師事務所""]","established Hong Kong, 1972","1972年於香港成立","Not Applicable","Not Applicable",1972,,"Hong Kong","香港"
34,true,"EOQ","EOQ","EOQ","EOQ","Organization","[""Design Firm"",""設計師事務所""]","Hong Kong, established 2012","2012年於香港成立","Not Applicable","Not Applicable",2012,,"Hong Kong","香港"
36,true,"Kwok Mang-ho (a.k.a. Frog King)","郭孟浩","Kwok, Mang-ho","郭孟浩","Individual","[""Artist""]","Hong Kong, born China, 1947","香港，1947年生於中國","Male","男性",1947,,"Hong Kong","香港"
37,true,"Front","Front","Front","Front","Organization","[""Design Firm""]","established Stockholm, 2003","2003年成立於斯德哥爾摩","Not Applicable","Not Applicable",2003,,"Swiss","瑞士籍"
44,true,"Tsang Tsou-choi (a.k.a. King of Kowloon)","曾灶財","Tsang, Tsou-choi","曾, 灶財","Individual","[""Artist"",""藝術家""]","Hong Kong, born China, 1921–2007","香港，生於中國，1921–2007年","Male","男性",1921,2007,"Hong Kong","香港"
48,true,"MAD Architects","MAD建築事務所","MAD Architects","MAD建築事務所","Organization","[""Architectural Firm"",""Archive Creator"",""建檔者"",""建築師事務所""]","established Beijing, 2004","2004年成立於北京","Not Applicable","Not Applicable",2004,,"Chinese","中國籍"
