"id","sortNumber","publicAccess","objectNumber","area","areaTC","category","categoryTC","archivalLevel","archivalLevelTC","title","titleTC","displayDate","displayDateTC","beginDate","endDate","dimension","dimensionTC","dimensionElement","dimensionUnit","dimensionWidth","dimensionHeight","dimensionDepth","medium","mediumTC","creditLine","creditLineTC","constituents","constituentsRole","constituentsRoleTC","images","colorPredominant","color-gray","color-white","color-black","color-orange","color-brown","color-blue","color-green","color-yellow","color-teal","color-red","color-pink","color-purple"
1,"2012  1799",true,"2012.1799","Visual Art","視覺藝術","Photography","攝影",,,"Ko Shing Street, Sheung Wan","上環高陞街","1956","1956",1956,1956,"sheet: 48.3 × 40 cm","紙本: 48.3 × 40 厘米","sheet","cm",40,48.3,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[378]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#817868"",""value"":43.5},{""color"":""#463E31"",""value"":19.7},{""color"":""#C6BDAD"",""value"":16.2},{""color"":""#645A48"",""value"":15.9}]",75.6,23.4,19.7,0,0,0,0,0,0,0,0,0
4,"2012  1802",true,"2012.1802","Visual Art","視覺藝術","Photography","攝影",,,"House in the Alley","巷裏人家之一","1960","1960",1960,1960,"sheet: 38.1 × 30.5 cm","紙本: 38.1 × 30.5 厘米","sheet","cm",30.5,38.1,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[378]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#7F786B"",""value"":38.3},{""color"":""#3A3530"",""value"":34.6},{""color"":""#C5BEAF"",""value"":26}]",64.2,26.5,34.6,0,0,0,0,0,0,0,0,0
6,"2012  1804",true,"2012.1804","Visual Art","視覺藝術","Photography","攝影",,,"Sailors on Shore Leave, Lockhart Road, Wan Chai","攞景","1966","1966",1966,1966,"sheet: 50.8 × 40.6 cm","紙本: 50.8 × 40.6 厘米","sheet","cm",40.6,50.8,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[378]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#D6D4CE"",""value"":63.1},{""color"":""#E3E2DC"",""value"":19.2},{""color"":""#89847F"",""value"":11.1},{""color"":""#34302E"",""value"":6.2}]",11.1,82.3,6.2,0,0,0,0,0,0,0,0,0
7,"2012  1805",true,"2012.1805","Visual Art","視覺藝術","Photography","攝影",,,"Water Finding","搏命撲水","1963","1963",1963,1963,"sheet: 40.6 × 50.8 cm","紙本: 40.6 × 50.8 厘米","sheet","cm",50.8,40.6,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[378]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#D7D3C9"",""value"":51.1},{""color"":""#8A857B"",""value"":24.9},{""color"":""#2F2A27"",""value"":19.4}]",24.9,51.1,19.4,0,0,0,0,0,0,0,0,0
25,"2012  1823",true,"2012.1823","Visual Art","視覺藝術","Photography","攝影",,,"Happy Sea Life","漁家樂","1961","1961",1961,1961,"sheet: 40 × 48.9 cm","紙本: 40 × 48.9 厘米","sheet","cm",48.9,40,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[126]","[""Artist""]","[""藝術家""]","[]","null",0,0,0,0,0,0,0,0,0,0,0,0
27,"2012  1825",true,"2012.1825","Visual Art","視覺藝術","Photography","攝影",,,"Grotesque Pines on Craggy Cliffs (Huangshan Mountains, Anhui)","幽谷勁松","1962","1962",1962,1962,"sheet: 48.3 × 35.6 cm","紙本: 48.3 × 35.6 厘米","sheet","cm",35.6,48.3,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[126]","[""Artist""]","[""藝術家""]","[]","null",0,0,0,0,0,0,0,0,0,0,0,0
33,"2012  1831",true,"2012.1831","Visual Art","視覺藝術","Photography","攝影",,,"Are all the Peaks but Visonary?","山在虛無飄渺間","1962","1962",1962,1962,"sheet: 50.2 × 25.4 cm","紙本: 50.2 × 25.4 厘米","sheet","cm",25.4,50.2,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[126]","[""Artist""]","[""藝術家""]","[]","null",0,0,0,0,0,0,0,0,0,0,0,0
45,"2012  1843",true,"2012.1843","Visual Art","視覺藝術","Photography","攝影",,,"Blood and Sweat in Cambodia","血汗 柬埔寨","1957","1957",1957,1957,"sheet: 38.1 × 48.3 cm","紙本: 38.1 × 48.3 厘米","sheet","cm",48.3,38.1,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[126]","[""Artist""]","[""藝術家""]","[]","null",0,0,0,0,0,0,0,0,0,0,0,0
48,"2012  1846",true,"2012.1846","Visual Art","視覺藝術","Photography","攝影",,,"Morning in Huangshan","朝暉頌","1962","1962",1962,1962,"sheet: 33.7 × 48.9 cm","紙本: 33.7 × 48.9 厘米","sheet","cm",48.9,33.7,,"black and white print","黑白沖印","M+, Hong Kong","M+，香港","[126]","[""Artist""]","[""藝術家""]","[]","null",0,0,0,0,0,0,0,0,0,0,0,0
56,"2012  1854",true,"2012.1854","Visual Art","視覺藝術","Photography","攝影",,,"Direction of My Hometown","日暮馨關何處是","1980","1980",1980,1980,"sheet: 50.8 × 33 cm","紙本: 50.8 × 33 厘米","sheet","cm",33,50.8,,"colour print","彩色沖印","M+, Hong Kong","M+，香港","[126]","[""Artist""]","[""藝術家""]","[]","null",0,0,0,0,0,0,0,0,0,0,0,0
