"id","sortNumber","publicAccess","objectNumber","area","areaTC","category","categoryTC","archivalLevel","archivalLevelTC","title","titleTC","displayDate","displayDateTC","beginDate","endDate","dimension","dimensionTC","dimensionElement","dimensionUnit","dimensionWidth","dimensionHeight","dimensionDepth","medium","mediumTC","creditLine","creditLineTC","constituents","constituentsRole","constituentsRoleTC","images","colorPredominant","color-red","color-gray","color-blue","color-black","color-teal","color-brown","color-orange","color-white","color-green","color-yellow","color-pink","color-purple","ArtistGroupsAndMovementsTitle","ArtistGroupsAndMovementsTitleTC","ArtistGroupsAndMovementsDescription","ArtistGroupsAndMovementsDescriptionTC","ArtistGroupsAndMovementsTimeline","ArtistGroupsAndMovementsBeginDate","ArtistGroupsAndMovementsEndDate","ArtistGroupsAndMovementsDisplayDate","ArtistGroupsAndMovementsPublicAccess"
2063,"2012  1442",true,"2012.1442","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"We went to look for love","我們尋找愛情去了","1996","1996",1996,1996,"sheet: 170 × 330 cm","紙本︰170 × 330 厘米","overall","cm",330,170,,"gouache on paper","水粉紙本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[608]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#B6D1DB"",""value"":35},{""color"":""#C1926D"",""value"":22},{""color"":""#89C1D5"",""value"":18.3},{""color"":""#CABAAF"",""value"":2.8},{""color"":""#323239"",""value"":2.8},{""color"":""#3C4E7C"",""value"":2.7},{""color"":""#CFAC80"",""value"":2.3},{""color"":""#956950"",""value"":1.7},{""color"":""#2C3345"",""value"":1.7},{""color"":""#877C74"",""value"":1.4},{""color"":""#C2C5D1"",""value"":1.3},{""color"":""#88C6CF"",""value"":1},{""color"":""#947C51"",""value"":0.9},{""color"":""#C1CDC5"",""value"":0.7},{""color"":""#423E3B"",""value"":0.6}]",1.5,6.2,4.4,3.3,19.2,2.7,24.2,35,0,0,0,0,,,,,,,,,
2064,"2012  1443",true,"2012.1443","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Press Conference III","新聞發佈會III","1996","1996",1996,1996,"overall: 297 × 425 cm; image: 289.5 × 425 cm","整體︰297 × 425 厘米; 圖像︰289.5 × 425 厘米","overall","cm",425,297,,"gouache on paper","水粉紙本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[608]","[""Artist""]","[""藝術家""]","[""Gouache painting and drawing on paper. Wearing a suit, a man resembling the artist stands at a podium backed by a row of flags. A line of text resembling close captioning reads: “The relations in the art world are the same as the relations between states in the post Cold War era”.""]","[{""color"":""#C6A75F"",""value"":29.9},{""color"":""#E4E0DB"",""value"":13.2},{""color"":""#B93C45"",""value"":9.9},{""color"":""#3F3733"",""value"":9.2},{""color"":""#92393C"",""value"":8.2},{""color"":""#3F5A9C"",""value"":5.5},{""color"":""#6B4C43"",""value"":4.4},{""color"":""#262527"",""value"":4.4},{""color"":""#9D8449"",""value"":2.6},{""color"":""#695B56"",""value"":2.1},{""color"":""#486AB2"",""value"":2},{""color"":""#4E835D"",""value"":1.7},{""color"":""#D5D5D1"",""value"":1.4},{""color"":""#B65A40"",""value"":1}]",23.5,2.1,7.5,13.5,0,2.6,29.9,14.6,1.7,0,0,0,"New Painting","新繪畫",,,"Artist Movements","2000","2000","2000",true
2065,"2012  1387",true,"2012.1387","[""Visual Art""]","[""視覺藝術""]","[""Sculpture""]","[""雕塑""]",,,"The 32nd Day of a Certain Month (Table)","某月的第32天","1994","1994",1994,1994,"overall: 72.5 × 115.5 × 55 cm","整體︰72.5 × 115.5 × 55 厘米","overall","cm",115.5,72.5,55,"acrylic on wood","塑膠彩板本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[594]","[""Artist""]","[""藝術家""]","[]","[{""color"":""#DCD9D7"",""value"":50.8},{""color"":""#41322B"",""value"":13.3},{""color"":""#86807A"",""value"":9.9},{""color"":""#413834"",""value"":9.1},{""color"":""#654C3F"",""value"":5.6},{""color"":""#E8E8E4"",""value"":5.5},{""color"":""#D2B380"",""value"":1.1}]",2.3,9.9,0.8,22.4,1.8,5.6,1.1,56.3,25.6,0,0,0,,,,,,,,,
2066,"2012    75",true,"2012.75","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Beijing Opera","京劇","1996","1996",1996,1996,"overall: 175 × 150 cm","整體︰175 × 150 厘米","overall","cm",150,175,,"oil on canvas","油彩布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[99]","[""Artist""]","[""藝術家""]","[""Oil painting on canvas of three Chinese opera figures, including a nude woman. Four red lipsticks with gold cases are painted in the left corner and a pair of pandas in the right.""]","[{""color"":""#232225"",""value"":14.8},{""color"":""#E2DCD4"",""value"":13.7},{""color"":""#024781"",""value"":10.7},{""color"":""#013A7B"",""value"":9.3},{""color"":""#508084"",""value"":6.4},{""color"":""#272C2D"",""value"":4.5},{""color"":""#2B2827"",""value"":4.4},{""color"":""#CBCDBD"",""value"":3},{""color"":""#A9BAAF"",""value"":2.9},{""color"":""#27373C"",""value"":2.1},{""color"":""#788E81"",""value"":2},{""color"":""#3F2626"",""value"":1.9},{""color"":""#7E7774"",""value"":1.8},{""color"":""#718385"",""value"":1.7},{""color"":""#598988"",""value"":1.7},{""color"":""#416675"",""value"":1.6},{""color"":""#7C5035"",""value"":1.6},{""color"":""#96B5B4"",""value"":1.6},{""color"":""#823644"",""value"":1.2},{""color"":""#B52B20"",""value"":1.1},{""color"":""#806638"",""value"":1},{""color"":""#982320"",""value"":0.9},{""color"":""#BE6975"",""value"":0.8},{""color"":""#BB3D12"",""value"":0.8},{""color"":""#8E3515"",""value"":0.7},{""color"":""#21283A"",""value"":0.6},{""color"":""#8D9256"",""value"":0.6},{""color"":""#6A6D76"",""value"":0.6},{""color"":""#223E39"",""value"":0.5},{""color"":""#2C466F"",""value"":0.5},{""color"":""#433C25"",""value"":0.5}]",7.3,10.5,21.2,25.8,10.2,3.1,0,16.7,1.3,0.6,0,0,,,,,,,,,
2067,"2012  1388",true,"2012.1388","[""Visual Art""]","[""視覺藝術""]","[""Poster""]","[""海報""]",,,"Zhao Bandi & the Panda—Do you mind if I have a cigarette? Do you mind if I am dead?","趙半狄和熊貓咪——我抽支煙你介意嗎？我死了你介意嗎？","1999","1999",1999,1999,"frame (each): 148.2 × 130 × 1.4 cm","連框 （各）︰148.2 × 130 × 1.4 厘米","frame","cm",130,148.2,1.4,"laser print","雷射印刷","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[594]","[""Artist""]","[""藝術家""]","[""Poster depicting a figure with a cigarette on our left and a plush panda toy on our right, both seated on single sofas. English and Chinese texts in speech bubbles near the figure and the panda read 'Would you mind my smoking?' and 'Would you mind my extinction?' respectively.""]","[{""color"":""#1F1B1A"",""value"":16.5},{""color"":""#30231D"",""value"":13.9},{""color"":""#161416"",""value"":11.4},{""color"":""#C0C6C8"",""value"":8.7},{""color"":""#736143"",""value"":8},{""color"":""#433A2B"",""value"":5.4},{""color"":""#939582"",""value"":4.8},{""color"":""#754C32"",""value"":4.6},{""color"":""#1C4021"",""value"":3.7},{""color"":""#B6B7A8"",""value"":3.5},{""color"":""#396B35"",""value"":2.7},{""color"":""#B9BFBA"",""value"":2.5},{""color"":""#282F2F"",""value"":1.8},{""color"":""#7A8A7C"",""value"":1.6},{""color"":""#266737"",""value"":1.6},{""color"":""#737051"",""value"":1.1},{""color"":""#8E8877"",""value"":1.1},{""color"":""#B49768"",""value"":0.9},{""color"":""#1D222B"",""value"":0.7},{""color"":""#B6AE99"",""value"":0.6}]",0,22.8,0,49.7,0,13.6,0.9,0,8,0,0,0,,,,,,,,,
2070,"2012    93",true,"2012.93","[""Visual Art""]","[""視覺藝術""]","[""Textile""]","[""紡織品""]",,,"Untitled","無題","1997","1997",1997,1997,"overall: 100 × 83 × 2.6 cm","整體︰100 × 83 × 2.6 厘米","overall","cm",83,100,2.6,"embroidery on cotton","刺繡棉布","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[120]","[""Artist""]","[""藝術家""]","[""Embroidery on cotton textile depicting a portrait of a person in a white shirt, purple jacket, and red tie. The person's head is framed in light against a pink background. A Coca-Cola can and a microphone, among other objects and scenes, punctuate the border of fairy lights.""]","[{""color"":""#C4C2C8"",""value"":24.5},{""color"":""#37286E"",""value"":17},{""color"":""#C4B3B1"",""value"":13.5},{""color"":""#BE7B80"",""value"":12.1},{""color"":""#BF8570"",""value"":9.6},{""color"":""#C2BDC1"",""value"":5.4},{""color"":""#1C1919"",""value"":3.3},{""color"":""#271A50"",""value"":2.7},{""color"":""#3E347C"",""value"":2.2},{""color"":""#232022"",""value"":1.2},{""color"":""#9C0431"",""value"":1.1},{""color"":""#B80643"",""value"":1},{""color"":""#CAA460"",""value"":1},{""color"":""#8D8598"",""value"":0.8}]",11.7,44.2,19.2,4.5,0,0,1,0,0,0,12.1,2.7,,,,,,,,,
2071,"2012    94",true,"2012.94","[""Visual Art""]","[""視覺藝術""]","[""Textile""]","[""紡織品""]",,,"Untitled","無題","1997","1997",1997,1997,"overall: 100 × 80.7 × 2.8 cm","整體︰100 × 80.7 × 2.8 厘米","overall","cm",80.7,100,2.8,"embroidery on cotton","刺繡棉布","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[120]","[""Artist""]","[""藝術家""]","[""Embroidery on cotton textile depicting a portrait of a man in a turquoise shirt, grey jacket, and patterned light brown tie. The person's head is framed in light against a pink background. A Coca-Cola can and a microphone, among other objects and scenes, punctuate the border of fairy lights.""]","[{""color"":""#C7B3AE"",""value"":26.5},{""color"":""#C0BDC4"",""value"":26.4},{""color"":""#BA7379"",""value"":15.3},{""color"":""#BF7D66"",""value"":8.8},{""color"":""#BEB9BD"",""value"":3.6},{""color"":""#368E94"",""value"":3.5},{""color"":""#1C1818"",""value"":3.1},{""color"":""#9B454A"",""value"":1.6},{""color"":""#980F2C"",""value"":1.6},{""color"":""#C6A061"",""value"":1.5},{""color"":""#170F0F"",""value"":1.3},{""color"":""#17727A"",""value"":1.1},{""color"":""#8D8899"",""value"":0.8}]",27.3,57.4,0,4.3,4.5,0,1.5,19.3,0,0,0,0,,,,,,,,,
2072,"2012  1054",true,"2012.1054","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"History of Revolution","革命史","1997","1997",1997,1997,"overall: 130.5 × 374.5 cm","整體︰130.5 × 374.5 厘米","overall","cm",374.5,130.5,,"oil on canvas","油彩布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[463]","[""Artist""]","[""藝術家""]","[""Oil painting on three joined canvas panels. The yellow-on-red title card in the middle describes the images on either side in Chinese: ‘Chairman Mao Goes to An-Yuan - Width x 200%, The Death of Marat - Width x 50%’. The image on the left is expanded while the image on the right is compressed.""]","[{""color"":""#B73F35"",""value"":25.4},{""color"":""#212124"",""value"":11.4},{""color"":""#A9B7BE"",""value"":10.1},{""color"":""#789EB6"",""value"":9.2},{""color"":""#2D2B2A"",""value"":7.2},{""color"":""#5C8497"",""value"":6.2},{""color"":""#2F3434"",""value"":6.1},{""color"":""#CFCCC9"",""value"":4.4},{""color"":""#626671"",""value"":2.7},{""color"":""#7B8E96"",""value"":1.8},{""color"":""#A4382E"",""value"":1.7},{""color"":""#C4C7C5"",""value"":1.6},{""color"":""#D3990C"",""value"":1.5},{""color"":""#CACBC7"",""value"":1.4},{""color"":""#637160"",""value"":1.3},{""color"":""#656D59"",""value"":1.2},{""color"":""#4F8085"",""value"":1},{""color"":""#B3B8BF"",""value"":0.9}]",27,19.8,0.8,24.7,16.5,0,1.5,4.4,1.2,0.8,0,0,,,,,,,,,
2073,"2012  1205",true,"2012.1205","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Standard Portrait","標準像","1996","1996",1996,1996,"overall: 120.3 × 100 cm","整體︰120.3 × 100 厘米","overall","cm",100,120.3,,"oil, burnt paper and mixed media on canvas","油彩焦紙及混合媒材布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[517]","[""Artist""]","[""藝術家""]","[""Mixed media and oil painting on canvas depicting a white outline of a portrait formed by numerous pieces of rounded red shapes. The portrait lies against a black background filled with white Chinese characters arranged in different directions.""]","[{""color"":""#770810"",""value"":50.1},{""color"":""#201D1A"",""value"":18.6},{""color"":""#847C6D"",""value"":7.2},{""color"":""#272017"",""value"":5.5},{""color"":""#2A1614"",""value"":5.2},{""color"":""#751C03"",""value"":5.1},{""color"":""#7B6849"",""value"":2.9},{""color"":""#4E1210"",""value"":2.5}]",57.7,7.2,0.9,29.3,0.6,2.9,0,6.2,0,0.7,0.7,3.1,,,,,,,,,
2074,"2012   789",true,"2012.789","[""Visual Art""]","[""視覺藝術""]","[""Painting""]","[""繪畫""]",,,"Red and Blue","紅與藍","1996","1996",1996,1996,"overall: 97 × 129 × 3.8 cm","整體︰97 × 129 × 3.8 厘米","overall","cm",129,97,3.8,"oil on canvas","油彩布本","M+ Sigg Collection, Hong Kong. By donation","M+ 希克藏品（捐贈），香港","[370]","[""Artist""]","[""藝術家""]","[""Oil painting on canvas depicting a woman's portrait against a blue background, split into four by a large cross in the centre. The woman is smiling and has wavy brown hair and red lips. The cross features four cheerful workers and a flag rendered primarily in red tones.""]","[{""color"":""#761027"",""value"":26.3},{""color"":""#3C7A90"",""value"":17.9},{""color"":""#7C2735"",""value"":13.6},{""color"":""#2F3935"",""value"":13.5},{""color"":""#434136"",""value"":4.8},{""color"":""#244643"",""value"":3.2},{""color"":""#B55B75"",""value"":2.1},{""color"":""#849094"",""value"":2},{""color"":""#3A6357"",""value"":1.6},{""color"":""#8D9198"",""value"":1.6},{""color"":""#37615D"",""value"":1.3},{""color"":""#7E917F"",""value"":1.3},{""color"":""#484234"",""value"":1.2},{""color"":""#744B35"",""value"":0.9},{""color"":""#ADB371"",""value"":0.7},{""color"":""#A4B37B"",""value"":0.7},{""color"":""#502527"",""value"":0.7},{""color"":""#91A06C"",""value"":0.7},{""color"":""#645C51"",""value"":0.6},{""color"":""#A0AFB4"",""value"":0.6}]",40.6,4.8,0,19.5,24,0.9,0,0,2.6,0.7,2.1,0,,,,,,,,,
